own2,city,richness,Evar,EVALID,plot_count_Curr,city_acres,ForestService,OtherFederal,Private,StateLocal,Agriculture,Commercial/Industrial,Forest land,Multi-family,Nonsampled,OtherNonforest,Rangeland/Chaparral,Recreation/Cemetery,Residential,Rights-of-Way,Water,city.y.y,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,ecoregion1,ecoregion2,ecoregion3,classification_1,classification_2,classification_3
Private,AustinTX,48,0.26581817760319715,AustinTX2023Curr,225,195259.0350815,NA,1646.173541186638,120908.96075378689,67473.80068583036,3203.6327784728323,35539.98290447152,47540.84418001808,10710.646958844558,NA,NA,5318.84727784769,5320.013294297509,50767.73990424406,31627.22768260763,5230.090420803765,Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1915031,1145,shape,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Public,AustinTX,35,0.27107904754738166,AustinTX2023Curr,225,195259.0350815,NA,1646.173541186638,120908.96075378689,67473.80068583036,3203.6327784728323,35539.98290447152,47540.84418001808,10710.646958844558,NA,NA,5318.84727784769,5320.013294297509,50767.73990424406,31627.22768260763,5230.090420803765,Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1915031,1145,shape,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,great plains,south central semiarid prairies,texas blackland prairies,not forested,not forested,not forested
Private,BaltimoreMD,56,0.5369132557530458,BaltimoreMD2023Curr,214,58911.858261,NA,676.7402325933883,28991.2000724987,22370.116324152314,NA,12893.445297032373,3566.3902438862383,5434.626912176049,NA,NA,NA,4309.348477699597,12997.777492514728,12836.468205935418,6873.805763554455,Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2189589,2753.1,shape,FALSE,TRUE,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21201 21223 21224 21225 21226 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Public,BaltimoreMD,46,0.5491217994310567,BaltimoreMD2023Curr,214,58911.858261,NA,676.7402325933883,28991.2000724987,22370.116324152314,NA,12893.445297032373,3566.3902438862383,5434.626912176049,NA,NA,NA,4309.348477699597,12997.777492514728,12836.468205935418,6873.805763554455,Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2189589,2753.1,shape,FALSE,TRUE,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21201 21223 21224 21225 21226 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592,eastern temperate forests,southeastern usa plains,northern piedmont,forested,forested,forested
Private,BurlingtonVT,48,0.3225571902056683,BurlingtonVT2023Curr,198,9917.460333,NA,NA,3662.6519201464066,2898.727724769046,601.0193721166956,979.8908542975918,1449.2939192601846,515.4665177670403,NA,74.1315,NA,581.0858016783284,1410.0077023414951,950.4839774541166,3356.081268,Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4876,-73.2316,118409,1673.2,shape,FALSE,TRUE,America/New_York,2,05405 05401 05408 05406,1840002310,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,BurlingtonVT,41,0.3971283593423943,BurlingtonVT2023Curr,198,9917.460333,NA,NA,3662.6519201464066,2898.727724769046,601.0193721166956,979.8908542975918,1449.2939192601846,515.4665177670403,NA,74.1315,NA,581.0858016783284,1410.0077023414951,950.4839774541166,3356.081268,Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4876,-73.2316,118409,1673.2,shape,FALSE,TRUE,America/New_York,2,05405 05401 05408 05406,1840002310,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Private,ChicagoIL,22,0.6562460620222752,ChicagoIL2023Curr,191,149835.180852,NA,822.3956074840754,89058.55529651049,54835.150344114125,182.27600052426368,37379.998458732865,2880.0040847934833,12480.338239542942,NA,NA,NA,10544.203826051467,36003.63575988657,45245.6448785771,5119.090978337598,Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60661 60660 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,eastern temperate forests,central usa plains,central corn belt plains,forested,forested,forested
Public,ChicagoIL,40,0.4532036370600536,ChicagoIL2023Curr,191,149835.180852,NA,822.3956074840754,89058.55529651049,54835.150344114125,182.27600052426368,37379.998458732865,2880.0040847934833,12480.338239542942,NA,NA,NA,10544.203826051467,36003.63575988657,45245.6448785771,5119.090978337598,Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60661 60660 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,eastern temperate forests,central usa plains,central corn belt plains,forested,forested,forested
Private,ClevelandOH,32,0.617955806615492,ClevelandOH2023Curr,186,52778.66274,NA,858.2623374309794,26293.502865530867,22351.841055866535,NA,13126.731986111823,512.8265014328471,1831.9105887235266,NA,395.9104549656206,NA,3779.3434076354083,14396.469878794403,15460.413441164752,3275.054825331064,Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1679247,1825.4,shape,FALSE,TRUE,America/New_York,1,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Public,ClevelandOH,38,0.5289588002262928,ClevelandOH2023Curr,186,52778.66274,NA,858.2623374309794,26293.502865530867,22351.841055866535,NA,13126.731986111823,512.8265014328471,1831.9105887235266,NA,395.9104549656206,NA,3779.3434076354083,14396.469878794403,15460.413441164752,3275.054825331064,Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1679247,1825.4,shape,FALSE,TRUE,America/New_York,1,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596,eastern temperate forests,mixed wood plains,eastern great lakes and hudson lowlands,forested,forested,forested
Private,DesMoinesIA,54,0.42224299131516263,DesMoinesIA2023Curr,195,52861.1710995,NA,716.9844703218495,32800.1141949393,17000.785865470272,7078.131223823044,9255.10681623018,5185.956932522256,1560.77214018894,NA,657.6351998736263,NA,3239.5439288961134,14355.49405302892,9185.244236168344,2343.2830719773438,Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,560170,930.5,shape,FALSE,TRUE,America/Chicago,2,50309 50314 50315 50316 50317 50310 50312 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Public,DesMoinesIA,23,0.5174333552705932,DesMoinesIA2023Curr,195,52861.1710995,NA,716.9844703218495,32800.1141949393,17000.785865470272,7078.131223823044,9255.10681623018,5185.956932522256,1560.77214018894,NA,657.6351998736263,NA,3239.5439288961134,14355.49405302892,9185.244236168344,2343.2830719773438,Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,560170,930.5,shape,FALSE,TRUE,America/Chicago,2,50309 50314 50315 50316 50317 50310 50312 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Private,DetroitMI,35,0.4141018854201538,DetroitMI2023Curr,190,91434.385152,NA,1371.9627006082924,50698.55694038555,36828.35434172334,NA,15682.428650221893,3503.8644711738702,3690.6092656668384,NA,NA,NA,7194.440108032877,34407.98733818009,24419.54414944161,2535.5196945000002,Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3716929,1771.8,shape,FALSE,TRUE,America/Detroit,1,48209 48208 48202 48201 48207 48206 48205 48204 48227 48238 48239 48234 48235 48233 48203 48243 48228 48226 48214 48215 48216 48217 48210 48211 48212 48213 48219 48224 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,1840003971,eastern temperate forests,central usa plains,huron/erie lake plains,forested,forested,forested
Public,DetroitMI,31,0.4358668644234265,DetroitMI2023Curr,190,91434.385152,NA,1371.9627006082924,50698.55694038555,36828.35434172334,NA,15682.428650221893,3503.8644711738702,3690.6092656668384,NA,NA,NA,7194.440108032877,34407.98733818009,24419.54414944161,2535.5196945000002,Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3716929,1771.8,shape,FALSE,TRUE,America/Detroit,1,48209 48208 48202 48201 48207 48206 48205 48204 48227 48238 48239 48234 48235 48233 48203 48243 48228 48226 48214 48215 48216 48217 48210 48211 48212 48213 48219 48224 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,1840003971,eastern temperate forests,central usa plains,huron/erie lake plains,forested,forested,forested
Private,FargoND,22,0.46443311782882446,FargoND2023Curr,203,31254.433452,NA,565.3295687943256,17786.54626086153,12604.852264893934,5077.503511422476,8510.060652375276,123.70429307142857,1391.8211499276983,NA,135.48505653521227,NA,2175.886560074034,6316.992761295831,7225.274109847835,297.70396518028707,Fargo,Fargo,ND,North Dakota,38017,Cass,46.8651,-96.8292,225066,980.3,shape,FALSE,TRUE,America/Chicago,2,58102 58104 58103 58105 58106 58107 58108 58109 58121 58122 58124 58125 58126,1840000177,great plains,temperate prairies,lake agassiz plain,not forested,not forested,not forested
Public,FargoND,17,0.5499147160074327,FargoND2023Curr,203,31254.433452,NA,565.3295687943256,17786.54626086153,12604.852264893934,5077.503511422476,8510.060652375276,123.70429307142857,1391.8211499276983,NA,135.48505653521227,NA,2175.886560074034,6316.992761295831,7225.274109847835,297.70396518028707,Fargo,Fargo,ND,North Dakota,38017,Cass,46.8651,-96.8292,225066,980.3,shape,FALSE,TRUE,America/Chicago,2,58102 58104 58103 58105 58106 58107 58108 58109 58121 58122 58124 58125 58126,1840000177,great plains,temperate prairies,lake agassiz plain,not forested,not forested,not forested
Private,HoustonTX,48,0.3714217177366803,HoustonTX2023Curr,235,401591.537109,NA,31546.782396119863,247065.86702571355,100025.81669069947,1728.047100380294,107243.07651131587,58638.42123953276,23182.729034546293,NA,866.7771714712096,1728.047100380294,24576.784716133727,88241.8078198501,72432.77541892233,22953.066070155728,Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,6046392,1386.5,shape,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77093 77092 77345 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77091 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77084 77089 77088 77083 77081 77080 77087 77086 77085 77053 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,great plains,texas-louisiana coastal plain,western gulf coastal plain,not forested,not forested,not forested
Public,HoustonTX,35,0.30998104883287547,HoustonTX2023Curr,235,401591.537109,NA,31546.782396119863,247065.86702571355,100025.81669069947,1728.047100380294,107243.07651131587,58638.42123953276,23182.729034546293,NA,866.7771714712096,1728.047100380294,24576.784716133727,88241.8078198501,72432.77541892233,22953.066070155728,Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,6046392,1386.5,shape,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77093 77092 77345 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77091 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77084 77089 77088 77083 77081 77080 77087 77086 77085 77053 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,great plains,texas-louisiana coastal plain,western gulf coastal plain,not forested,not forested,not forested
Private,KansasCityMO,48,0.3438048752402375,KansasCityMO2023Curr,187,204186.617496,NA,3177.826824901734,127392.66765209132,69139.5996142004,39266.8229220238,28492.95556840797,30788.629129982968,4507.9574863184225,NA,1964.6363664247638,2231.770738135405,7690.30797260847,44025.94674080989,40741.06716648175,4476.523404806562,Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1686807,623.6,shape,FALSE,TRUE,America/Chicago,1,64163 64165 64167 64161 64053 64119 64151 64153 64155 64154 64157 64156 64158 64108 64109 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64118 64114 64117 64116 64111 64110 64113 64112 64132 64146 64145 64149 64147 64106 64102 64139 64138 64133 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Public,KansasCityMO,39,0.34324096593552633,KansasCityMO2023Curr,187,204186.617496,NA,3177.826824901734,127392.66765209132,69139.5996142004,39266.8229220238,28492.95556840797,30788.629129982968,4507.9574863184225,NA,1964.6363664247638,2231.770738135405,7690.30797260847,44025.94674080989,40741.06716648175,4476.523404806562,Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1686807,623.6,shape,FALSE,TRUE,America/Chicago,1,64163 64165 64167 64161 64053 64119 64151 64153 64155 64154 64157 64156 64158 64108 64109 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64118 64114 64117 64116 64111 64110 64113 64112 64132 64146 64145 64149 64147 64106 64102 64139 64138 64133 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Private,LincolnNE,46,0.4786132295993206,LincolnNE2023Curr,203,57817.677321,NA,807.0919288559999,34376.69555777717,22215.699469967156,1914.8659414553622,12137.464712580966,2293.7557696508898,2573.812604123598,NA,550.1050687941358,NA,5726.531247245767,17322.828738307515,14880.122874442091,418.191308382374,Lincoln,Lincoln,NE,Nebraska,31109,Lancaster,40.8099,-96.6784,293055,1127.5,shape,FALSE,TRUE,America/Chicago,2,68528 68524 68526 68520 68521 68522 68514 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68588 68509 68529 68542 68544 68583,1840009357,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Public,LincolnNE,28,0.5226599378266958,LincolnNE2023Curr,203,57817.677321,NA,807.0919288559999,34376.69555777717,22215.699469967156,1914.8659414553622,12137.464712580966,2293.7557696508898,2573.812604123598,NA,550.1050687941358,NA,5726.531247245767,17322.828738307515,14880.122874442091,418.191308382374,Lincoln,Lincoln,NE,Nebraska,31109,Lancaster,40.8099,-96.6784,293055,1127.5,shape,FALSE,TRUE,America/Chicago,2,68528 68524 68526 68520 68521 68522 68514 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68588 68509 68529 68542 68544 68583,1840009357,great plains,temperate prairies,western corn belt plains,not forested,not forested,not forested
Private,MadisonWI,40,0.5245374488018412,MadisonWI2023Curr,221,60180.396489,NA,252.67866044704553,24861.443645024217,24213.205638407828,3101.0333604932234,7047.460916403398,3924.1866604150646,2676.7543187291863,NA,1131.5599278719185,1862.2052249036626,3928.2708903517505,12819.121206074475,12836.735438636411,10853.070025221441,Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,460255,1280.5,shape,FALSE,TRUE,America/Chicago,2,53706 53704 53705 53703 53714 53726 53792 53719 53718 53715 53717 53716 53711 53713 53701 53702 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794,1840002915,eastern temperate forests,central usa plains,southeastern wisconsin till plains,forested,forested,forested
